Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1596124988,2020-07-30T16:03:08Z,SBI2162,"46.285622,48.003578",0,0,294
1596125167,2020-07-30T16:06:07Z,SBI2162,"46.285831,48.003696",0,13,25
1596125176,2020-07-30T16:06:16Z,SBI2162,"46.285892,48.00399",0,16,67
1596125185,2020-07-30T16:06:25Z,SBI2162,"46.28587,48.004425",0,22,92
1596125192,2020-07-30T16:06:32Z,SBI2162,"46.285843,48.004845",0,26,95
1596125198,2020-07-30T16:06:38Z,SBI2162,"46.285801,48.005295",0,27,98
1596125204,2020-07-30T16:06:44Z,SBI2162,"46.285755,48.005749",0,27,98
1596125213,2020-07-30T16:06:53Z,SBI2162,"46.285675,48.006504",0,32,101
1596125219,2020-07-30T16:06:59Z,SBI2162,"46.285599,48.007095",0,15,101
1596125225,2020-07-30T16:07:05Z,SBI2162,"46.285515,48.00771",0,16,101
1596125232,2020-07-30T16:07:12Z,SBI2162,"46.285423,48.008484",0,19,101
1596125238,2020-07-30T16:07:18Z,SBI2162,"46.285309,48.009346",0,20,101
1596125250,2020-07-30T16:07:30Z,SBI2162,"46.28511,48.010906",0,20,101
1596125262,2020-07-30T16:07:42Z,SBI2162,"46.284901,48.012589",0,20,101
1596125268,2020-07-30T16:07:48Z,SBI2162,"46.284794,48.013359",0,20,101
1596125274,2020-07-30T16:07:54Z,SBI2162,"46.284691,48.014168",0,20,101
1596125285,2020-07-30T16:08:05Z,SBI2162,"46.284527,48.015594",0,20,98
1596125292,2020-07-30T16:08:12Z,SBI2162,"46.284439,48.016586",0,19,98
1596125298,2020-07-30T16:08:18Z,SBI2162,"46.284378,48.017311",0,19,98
1596125304,2020-07-30T16:08:24Z,SBI2162,"46.284302,48.018124",0,19,98
1596125316,2020-07-30T16:08:36Z,SBI2162,"46.284168,48.01973",0,19,95
1596125329,2020-07-30T16:08:49Z,SBI2162,"46.284039,48.021275",0,19,98
1596125337,2020-07-30T16:08:57Z,SBI2162,"46.283947,48.022396",0,20,98
1596125343,2020-07-30T16:09:03Z,SBI2162,"46.283867,48.0233",0,20,95
1596125350,2020-07-30T16:09:10Z,SBI2162,"46.283806,48.024139",0,19,95
1596125362,2020-07-30T16:09:22Z,SBI2162,"46.283691,48.025551",0,16,95
1596125368,2020-07-30T16:09:28Z,SBI2162,"46.28363,48.026199",0,15,95
1596125374,2020-07-30T16:09:34Z,SBI2162,"46.283585,48.026836",0,34,98
1596125380,2020-07-30T16:09:40Z,SBI2162,"46.283539,48.02742",0,33,95
1596125386,2020-07-30T16:09:46Z,SBI2162,"46.283501,48.02784",0,23,95
1596125392,2020-07-30T16:09:52Z,SBI2162,"46.283466,48.028225",0,24,95
1596125403,2020-07-30T16:10:03Z,SBI2162,"46.283398,48.029015",0,28,95
1596125409,2020-07-30T16:10:09Z,SBI2162,"46.283352,48.029549",0,32,98
1596125416,2020-07-30T16:10:16Z,SBI2162,"46.283306,48.030098",0,33,98
1596125422,2020-07-30T16:10:22Z,SBI2162,"46.28318,48.03067",0,32,112
1596125428,2020-07-30T16:10:28Z,SBI2162,"46.282917,48.031105",0,15,137
1596125434,2020-07-30T16:10:34Z,SBI2162,"46.282482,48.031372",0,16,163
1596125441,2020-07-30T16:10:41Z,SBI2162,"46.282047,48.031372",0,33,185
1596125450,2020-07-30T16:10:50Z,SBI2162,"46.281548,48.031265",0,24,191
1596125456,2020-07-30T16:10:56Z,SBI2162,"46.281326,48.031155",0,24,199
1596125462,2020-07-30T16:11:02Z,SBI2162,"46.281212,48.030853",0,23,241
1596125468,2020-07-30T16:11:08Z,SBI2162,"46.281246,48.030602",0,11,275
1596125550,2020-07-30T16:12:30Z,SBI2162,"46.281303,48.02985",0,29,275
1596125556,2020-07-30T16:12:36Z,SBI2162,"46.281456,48.027901",0,59,275
1596125562,2020-07-30T16:12:42Z,SBI2162,"46.281734,48.024639",0,88,275
1596125568,2020-07-30T16:12:48Z,SBI2162,"46.282059,48.020435",0,109,276
1596125578,2020-07-30T16:12:58Z,SBI2162,"46.282791,48.012131",0,146,277
1596125589,2020-07-30T16:13:09Z,SBI2162,"46.283844,47.999668",75,163,277
1596125596,2020-07-30T16:13:16Z,SBI2162,"46.284424,47.993088",350,157,277
1596125602,2020-07-30T16:13:22Z,SBI2162,"46.284935,47.987045",575,157,277
1596125608,2020-07-30T16:13:28Z,SBI2162,"46.285309,47.980659",850,154,271
1596125614,2020-07-30T16:13:34Z,SBI2162,"46.285027,47.974617",1050,155,262
1596125620,2020-07-30T16:13:40Z,SBI2162,"46.28389,47.967915",1175,161,250
1596125626,2020-07-30T16:13:46Z,SBI2162,"46.281876,47.962021",1250,167,240
1596125632,2020-07-30T16:13:52Z,SBI2162,"46.2789,47.956596",1375,174,227
1596125642,2020-07-30T16:14:02Z,SBI2162,"46.273087,47.948021",1550,186,224
1596125648,2020-07-30T16:14:08Z,SBI2162,"46.269058,47.942593",1650,194,223
1596125654,2020-07-30T16:14:14Z,SBI2162,"46.265579,47.937504",1700,206,227
1596125660,2020-07-30T16:14:20Z,SBI2162,"46.262192,47.930401",1750,219,240
1596125666,2020-07-30T16:14:26Z,SBI2162,"46.259857,47.921494",1875,230,254
1596125672,2020-07-30T16:14:32Z,SBI2162,"46.258678,47.912682",2000,239,261
1596125678,2020-07-30T16:14:38Z,SBI2162,"46.257935,47.902794",2150,248,265
1596125684,2020-07-30T16:14:44Z,SBI2162,"46.257515,47.891876",2300,257,267
1596125690,2020-07-30T16:14:50Z,SBI2162,"46.257248,47.881767",2500,263,268
1596125696,2020-07-30T16:14:56Z,SBI2162,"46.257004,47.871002",2750,267,267
1596125702,2020-07-30T16:15:02Z,SBI2162,"46.256653,47.859661",3025,270,267
1596125708,2020-07-30T16:15:08Z,SBI2162,"46.256241,47.848808",3300,272,267
1596125714,2020-07-30T16:15:14Z,SBI2162,"46.255829,47.838089",3600,273,266
1596125720,2020-07-30T16:15:20Z,SBI2162,"46.255329,47.826988",3925,273,266
1596125727,2020-07-30T16:15:27Z,SBI2162,"46.254768,47.815796",4275,274,266
1596125736,2020-07-30T16:15:36Z,SBI2162,"46.253933,47.798424",4775,275,265
1596125742,2020-07-30T16:15:42Z,SBI2162,"46.253357,47.787781",5100,276,265
1596125755,2020-07-30T16:15:55Z,SBI2162,"46.252121,47.764267",5725,278,265
1596125767,2020-07-30T16:16:07Z,SBI2162,"46.25095,47.741707",6325,281,265
1596125780,2020-07-30T16:16:20Z,SBI2162,"46.249695,47.717709",7025,281,265
1596125792,2020-07-30T16:16:32Z,SBI2162,"46.248459,47.694466",7675,281,265
1596125807,2020-07-30T16:16:47Z,SBI2162,"46.246902,47.666126",8525,281,265
1596125819,2020-07-30T16:16:59Z,SBI2162,"46.245739,47.644203",9175,281,265
