Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1596126833,2020-07-30T16:33:53Z,AFL1011,"54.886856,20.579805",650,153,246
1596126839,2020-07-30T16:33:59Z,AFL1011,"54.885136,20.573149",975,149,245
1596126845,2020-07-30T16:34:05Z,AFL1011,"54.883392,20.566648",1225,148,244
1596126851,2020-07-30T16:34:11Z,AFL1011,"54.881516,20.55962",1400,150,245
1596126857,2020-07-30T16:34:17Z,AFL1011,"54.879776,20.553078",1525,155,245
1596126863,2020-07-30T16:34:23Z,AFL1011,"54.877899,20.546129",1625,161,245
1596126869,2020-07-30T16:34:29Z,AFL1011,"54.875793,20.538214",1750,168,245
1596126875,2020-07-30T16:34:35Z,AFL1011,"54.873775,20.530617",1900,174,245
1596126883,2020-07-30T16:34:43Z,AFL1011,"54.871357,20.521296",2125,179,245
1596126889,2020-07-30T16:34:49Z,AFL1011,"54.869247,20.51309",2400,177,245
1596126901,2020-07-30T16:35:01Z,AFL1011,"54.865398,20.497992",2975,172,246
1596126907,2020-07-30T16:35:07Z,AFL1011,"54.86348,20.490391",3250,170,246
1596126913,2020-07-30T16:35:13Z,AFL1011,"54.861603,20.48304",3525,169,246
1596126924,2020-07-30T16:35:24Z,AFL1011,"54.85767,20.467863",3975,171,245
1596126931,2020-07-30T16:35:31Z,AFL1011,"54.855789,20.460421",4175,172,246
1596126937,2020-07-30T16:35:37Z,AFL1011,"54.854084,20.452299",4400,173,251
1596126943,2020-07-30T16:35:43Z,AFL1011,"54.85318,20.443779",4625,172,259
1596126969,2020-07-30T16:36:09Z,AFL1011,"54.857948,20.409019",5500,181,299
1596126975,2020-07-30T16:36:15Z,AFL1011,"54.861115,20.402027",5700,184,308
1596126981,2020-07-30T16:36:21Z,AFL1011,"54.865166,20.395618",5850,191,317
1596126987,2020-07-30T16:36:27Z,AFL1011,"54.869865,20.390125",5950,199,325
1596126993,2020-07-30T16:36:33Z,AFL1011,"54.875427,20.386183",6100,211,337
1596126999,2020-07-30T16:36:39Z,AFL1011,"54.881084,20.383966",6200,221,346
1596127023,2020-07-30T16:37:03Z,AFL1011,"54.907574,20.400446",6700,285,39
1596127029,2020-07-30T16:37:09Z,AFL1011,"54.912788,20.411932",6900,296,52
1596127035,2020-07-30T16:37:15Z,AFL1011,"54.916603,20.425081",7150,303,63
1596127041,2020-07-30T16:37:21Z,AFL1011,"54.919189,20.438528",7400,306,71
1596127048,2020-07-30T16:37:28Z,AFL1011,"54.921028,20.455212",7700,309,80
1596127054,2020-07-30T16:37:34Z,AFL1011,"54.921524,20.469065",7950,309,86
1596127060,2020-07-30T16:37:40Z,AFL1011,"54.921936,20.486433",8275,310,87
1596127074,2020-07-30T16:37:54Z,AFL1011,"54.922623,20.519714",8925,310,87
1596127085,2020-07-30T16:38:05Z,AFL1011,"54.923214,20.549095",9350,315,87
1596127096,2020-07-30T16:38:16Z,AFL1011,"54.923775,20.575062",9725,319,87
1596127107,2020-07-30T16:38:27Z,AFL1011,"54.924332,20.602777",10200,320,88
1596127118,2020-07-30T16:38:38Z,AFL1011,"54.924866,20.630789",10550,325,88
1596127129,2020-07-30T16:38:49Z,AFL1011,"54.925461,20.662052",10800,336,88
1596127141,2020-07-30T16:39:01Z,AFL1011,"54.926056,20.6938",10975,349,88
1596127153,2020-07-30T16:39:13Z,AFL1011,"54.926754,20.728205",11150,362,88
1596127164,2020-07-30T16:39:24Z,AFL1011,"54.927383,20.763191",11400,372,88
1596127176,2020-07-30T16:39:36Z,AFL1011,"54.927917,20.797035",11625,383,88
1596127187,2020-07-30T16:39:47Z,AFL1011,"54.928429,20.832159",11950,389,88
1596127198,2020-07-30T16:39:58Z,AFL1011,"54.928894,20.867033",12350,393,88
1596127229,2020-07-30T16:40:29Z,AFL1011,"54.930199,20.965576",13475,401,88
1596127260,2020-07-30T16:41:00Z,AFL1011,"54.931499,21.065702",14475,412,88
1596127291,2020-07-30T16:41:31Z,AFL1011,"54.932804,21.171654",15550,421,88
1596127322,2020-07-30T16:42:02Z,AFL1011,"54.933975,21.275509",16600,427,88
1596127353,2020-07-30T16:42:33Z,AFL1011,"54.93512,21.383595",17475,439,88
1596127384,2020-07-30T16:43:04Z,AFL1011,"54.936203,21.495085",18500,444,89
1596127445,2020-07-30T16:44:05Z,AFL1011,"54.938065,21.713396",20175,459,89
1596127506,2020-07-30T16:45:06Z,AFL1011,"54.939606,21.945271",21800,474,89
1596127567,2020-07-30T16:46:07Z,AFL1011,"54.940624,22.181646",23350,487,89
1596127629,2020-07-30T16:47:09Z,AFL1011,"54.941299,22.424227",24750,501,89
1596127691,2020-07-30T16:48:11Z,AFL1011,"54.941437,22.677881",26025,513,89
1596127752,2020-07-30T16:49:12Z,AFL1011,"54.954685,22.931213",27175,522,83
1596127814,2020-07-30T16:50:14Z,AFL1011,"54.971535,23.192638",28125,534,83
