Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1596151323,2020-07-30T23:22:03Z,AFL103,"40.642673,-73.792953",0,10,163
1596151343,2020-07-30T23:22:23Z,AFL103,"40.64291,-73.793106",0,10,185
1596151359,2020-07-30T23:22:39Z,AFL103,"40.643131,-73.793091",0,10,194
1596151410,2020-07-30T23:23:30Z,AFL103,"40.642902,-73.793335",0,10,213
1596151436,2020-07-30T23:23:56Z,AFL103,"40.642673,-73.79364",0,10,222
1596151456,2020-07-30T23:24:16Z,AFL103,"40.642513,-73.793869",0,9,225
1596151492,2020-07-30T23:24:52Z,AFL103,"40.642319,-73.794144",0,0,234
1596151783,2020-07-30T23:29:43Z,AFL103,"40.642185,-73.794403",0,13,233
1596151850,2020-07-30T23:30:50Z,AFL103,"40.641548,-73.796204",0,4,186
1596151860,2020-07-30T23:31:00Z,AFL103,"40.641312,-73.796173",0,6,154
1596151869,2020-07-30T23:31:09Z,AFL103,"40.641022,-73.796066",0,0,168
1596151879,2020-07-30T23:31:19Z,AFL103,"40.64056,-73.795898",0,11,165
1596151890,2020-07-30T23:31:30Z,AFL103,"40.640099,-73.795486",0,13,148
1596151896,2020-07-30T23:31:36Z,AFL103,"40.639881,-73.795135",0,28,132
1596151904,2020-07-30T23:31:44Z,AFL103,"40.639687,-73.794708",0,29,123
1596151913,2020-07-30T23:31:53Z,AFL103,"40.639378,-73.794037",0,31,120
1596151920,2020-07-30T23:32:00Z,AFL103,"40.639172,-73.79361",0,32,120
1596151927,2020-07-30T23:32:07Z,AFL103,"40.638908,-73.793015",0,34,120
1596151933,2020-07-30T23:32:13Z,AFL103,"40.638702,-73.792557",0,15,120
1596151939,2020-07-30T23:32:19Z,AFL103,"40.638451,-73.792007",0,16,120
1596151946,2020-07-30T23:32:26Z,AFL103,"40.638138,-73.791344",0,17,120
1596151960,2020-07-30T23:32:40Z,AFL103,"40.63752,-73.78994",0,19,120
1596151966,2020-07-30T23:32:46Z,AFL103,"40.63723,-73.789314",0,20,120
1596151972,2020-07-30T23:32:52Z,AFL103,"40.636902,-73.788612",0,20,120
1596151978,2020-07-30T23:32:58Z,AFL103,"40.636608,-73.787949",0,21,120
1596151986,2020-07-30T23:33:06Z,AFL103,"40.63623,-73.787125",0,21,120
1596151994,2020-07-30T23:33:14Z,AFL103,"40.635811,-73.786194",0,22,120
