Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1596085768,2020-07-30T05:09:28Z,AFL003,"59.797375,30.266434",0,0,95
1596085822,2020-07-30T05:10:22Z,AFL003,"59.797119,30.266464",0,2,95
1596085837,2020-07-30T05:10:37Z,AFL003,"59.797142,30.266121",0,10,95
1596085849,2020-07-30T05:10:49Z,AFL003,"59.797142,30.26582",0,10,95
1596085861,2020-07-30T05:11:01Z,AFL003,"59.797165,30.265511",0,10,87
1596085879,2020-07-30T05:11:19Z,AFL003,"59.797153,30.265038",0,10,87
1596085892,2020-07-30T05:11:32Z,AFL003,"59.797131,30.264706",0,10,98
1596085901,2020-07-30T05:11:41Z,AFL003,"59.797131,30.264473",0,10,112
1596085909,2020-07-30T05:11:49Z,AFL003,"59.797165,30.264256",0,10,129
1596085918,2020-07-30T05:11:58Z,AFL003,"59.797222,30.264042",0,10,146
1596085934,2020-07-30T05:12:14Z,AFL003,"59.797382,30.263809",0,10,177
1596085952,2020-07-30T05:12:32Z,AFL003,"59.797611,30.263786",0,2,194
1596086113,2020-07-30T05:15:13Z,AFL003,"59.797348,30.263649",0,14,196
1596086126,2020-07-30T05:15:26Z,AFL003,"59.797058,30.263475",0,15,196
1596086138,2020-07-30T05:15:38Z,AFL003,"59.796757,30.263309",0,17,196
1596086145,2020-07-30T05:15:45Z,AFL003,"59.796547,30.263191",0,18,196
1596086155,2020-07-30T05:15:55Z,AFL003,"59.796211,30.263",0,20,196
1596086163,2020-07-30T05:16:03Z,AFL003,"59.795906,30.262812",0,23,196
1596086169,2020-07-30T05:16:09Z,AFL003,"59.795643,30.262665",0,24,196
1596086177,2020-07-30T05:16:17Z,AFL003,"59.795315,30.262575",0,19,180
1596086184,2020-07-30T05:16:24Z,AFL003,"59.795116,30.262871",0,22,140
1596086193,2020-07-30T05:16:33Z,AFL003,"59.794998,30.263594",0,23,106
1596086202,2020-07-30T05:16:42Z,AFL003,"59.794899,30.264336",0,24,106
1596086208,2020-07-30T05:16:48Z,AFL003,"59.794807,30.264908",0,25,106
1596086214,2020-07-30T05:16:54Z,AFL003,"59.794716,30.265503",0,26,106
1596086223,2020-07-30T05:17:03Z,AFL003,"59.79459,30.266373",0,28,106
1596086235,2020-07-30T05:17:15Z,AFL003,"59.794384,30.267723",0,30,106
1596086247,2020-07-30T05:17:27Z,AFL003,"59.794178,30.269142",0,32,106
1596086253,2020-07-30T05:17:33Z,AFL003,"59.794067,30.269867",0,33,106
1596086259,2020-07-30T05:17:39Z,AFL003,"59.793949,30.270676",0,34,106
1596086268,2020-07-30T05:17:48Z,AFL003,"59.793755,30.271957",0,15,106
1596086274,2020-07-30T05:17:54Z,AFL003,"59.793636,30.272732",0,16,106
1596086289,2020-07-30T05:18:09Z,AFL003,"59.793324,30.274887",0,15,106
1596086298,2020-07-30T05:18:18Z,AFL003,"59.793148,30.276047",0,33,106
1596086304,2020-07-30T05:18:24Z,AFL003,"59.793034,30.276806",0,32,106
1596086310,2020-07-30T05:18:30Z,AFL003,"59.792927,30.277563",0,33,106
1596086316,2020-07-30T05:18:36Z,AFL003,"59.792805,30.278297",0,33,106
1596086325,2020-07-30T05:18:45Z,AFL003,"59.79266,30.279362",0,32,106
1596086332,2020-07-30T05:18:52Z,AFL003,"59.792553,30.280037",0,27,106
1596086343,2020-07-30T05:19:03Z,AFL003,"59.792404,30.281044",0,23,106
1596086355,2020-07-30T05:19:15Z,AFL003,"59.792267,30.281708",0,17,115
1596086362,2020-07-30T05:19:22Z,AFL003,"59.792141,30.281982",0,15,129
1596086377,2020-07-30T05:19:37Z,AFL003,"59.791962,30.282204",0,9,146
1596086395,2020-07-30T05:19:55Z,AFL003,"59.791729,30.282299",0,11,163
1596086407,2020-07-30T05:20:07Z,AFL003,"59.791431,30.282463",0,18,165
1596086416,2020-07-30T05:20:16Z,AFL003,"59.791134,30.2826",0,20,168
1596086422,2020-07-30T05:20:22Z,AFL003,"59.790928,30.282646",0,20,171
1596086431,2020-07-30T05:20:31Z,AFL003,"59.790668,30.282701",0,17,177
1596086440,2020-07-30T05:20:40Z,AFL003,"59.790482,30.282463",0,14,213
1596086446,2020-07-30T05:20:46Z,AFL003,"59.790447,30.282234",0,14,241
1596086452,2020-07-30T05:20:52Z,AFL003,"59.790462,30.28199",0,13,267
1596086460,2020-07-30T05:21:00Z,AFL003,"59.790531,30.281658",0,14,286
