Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1596197368,2020-07-31T12:09:28Z,AFL521,"25.252623,55.356686",0,9,36
1596197407,2020-07-31T12:10:07Z,AFL521,"25.253006,55.35688",0,9,11
1596197440,2020-07-31T12:10:40Z,AFL521,"25.253344,55.356792",0,9,336
1596197667,2020-07-31T12:14:27Z,AFL521,"25.253239,55.356998",0,15,119
1596197691,2020-07-31T12:14:51Z,AFL521,"25.252762,55.357845",0,25,120
1596197724,2020-07-31T12:15:24Z,AFL521,"25.251686,55.359791",0,15,120
1596197732,2020-07-31T12:15:32Z,AFL521,"25.251354,55.360386",0,16,120
1596197811,2020-07-31T12:16:51Z,AFL521,"25.251366,55.363426",0,14,120
1596197849,2020-07-31T12:17:29Z,AFL521,"25.253017,55.36454",0,33,30
1596197859,2020-07-31T12:17:39Z,AFL521,"25.253588,55.364925",0,29,30
1596197870,2020-07-31T12:17:50Z,AFL521,"25.254019,55.365227",0,25,30
1596197878,2020-07-31T12:17:58Z,AFL521,"25.254158,55.365498",0,22,78
1596197884,2020-07-31T12:18:04Z,AFL521,"25.254076,55.365784",0,22,109
1596197912,2020-07-31T12:18:32Z,AFL521,"25.253357,55.367115",0,32,120
1596197933,2020-07-31T12:18:53Z,AFL521,"25.25251,55.368641",0,17,120
1596197940,2020-07-31T12:19:00Z,AFL521,"25.252274,55.369087",0,18,120
1596197952,2020-07-31T12:19:12Z,AFL521,"25.251621,55.370251",0,20,120
1596197964,2020-07-31T12:19:24Z,AFL521,"25.251022,55.371349",0,21,120
1596197986,2020-07-31T12:19:46Z,AFL521,"25.249817,55.373505",0,22,120
1596198007,2020-07-31T12:20:07Z,AFL521,"25.248653,55.375622",0,23,120
1596198023,2020-07-31T12:20:23Z,AFL521,"25.247793,55.377171",0,19,123
1596198033,2020-07-31T12:20:33Z,AFL521,"25.247452,55.377781",0,28,123
1596198043,2020-07-31T12:20:43Z,AFL521,"25.247234,55.378166",0,20,120
1596198053,2020-07-31T12:20:53Z,AFL521,"25.247093,55.378441",0,14,123
1596198074,2020-07-31T12:21:14Z,AFL521,"25.247234,55.378735",0,11,123
1596198105,2020-07-31T12:21:45Z,AFL521,"25.247444,55.378853",0,2,123
1596198209,2020-07-31T12:23:29Z,AFL521,"25.24902,55.378597",0,27,292
1596198225,2020-07-31T12:23:45Z,AFL521,"25.250608,55.375706",0,68,298
1596198238,2020-07-31T12:23:58Z,AFL521,"25.254227,55.369213",525,127,300
1596198248,2020-07-31T12:24:08Z,AFL521,"25.257797,55.362751",475,145,300
1596198257,2020-07-31T12:24:17Z,AFL521,"25.261871,55.355274",725,177,300
1596198265,2020-07-31T12:24:25Z,AFL521,"25.265203,55.349174",1125,171,301
1596198272,2020-07-31T12:24:32Z,AFL521,"25.268135,55.344044",1450,169,302
1596198280,2020-07-31T12:24:40Z,AFL521,"25.271534,55.338032",1800,169,301
1596198290,2020-07-31T12:24:50Z,AFL521,"25.275677,55.33057",2175,173,301
1596198298,2020-07-31T12:24:58Z,AFL521,"25.278843,55.324921",2450,176,301
1596198306,2020-07-31T12:25:06Z,AFL521,"25.282333,55.318649",2650,176,301
1596198321,2020-07-31T12:25:21Z,AFL521,"25.288834,55.306957",3025,177,301
1596198329,2020-07-31T12:25:29Z,AFL521,"25.292389,55.301445",3200,177,307
1596198337,2020-07-31T12:25:37Z,AFL521,"25.29776,55.296936",3350,179,329
1596198344,2020-07-31T12:25:44Z,AFL521,"25.303345,55.295155",3500,181,348
1596198350,2020-07-31T12:25:50Z,AFL521,"25.308197,55.294903",3650,180,358
1596198356,2020-07-31T12:25:56Z,AFL521,"25.314035,55.294811",3750,183,359
1596198388,2020-07-31T12:26:28Z,AFL521,"25.343765,55.29546",4050,217,1
1596198402,2020-07-31T12:26:42Z,AFL521,"25.35854,55.296001",4200,234,2
1596198409,2020-07-31T12:26:49Z,AFL521,"25.366104,55.296276",4325,241,1
1596198419,2020-07-31T12:26:59Z,AFL521,"25.377953,55.296677",4500,246,1
1596198426,2020-07-31T12:27:06Z,AFL521,"25.384842,55.296883",4600,247,1
1596198432,2020-07-31T12:27:12Z,AFL521,"25.39271,55.297249",4700,249,2
1596198438,2020-07-31T12:27:18Z,AFL521,"25.398743,55.298054",4775,249,6
1596198450,2020-07-31T12:27:30Z,AFL521,"25.412495,55.303413",5025,252,22
1596198456,2020-07-31T12:27:36Z,AFL521,"25.419113,55.306854",5125,256,24
1596198462,2020-07-31T12:27:42Z,AFL521,"25.425293,55.310772",5200,267,30
1596198468,2020-07-31T12:27:48Z,AFL521,"25.431488,55.31554",5275,269,33
1596198477,2020-07-31T12:27:57Z,AFL521,"25.440985,55.323158",5475,279,35
1596198483,2020-07-31T12:28:03Z,AFL521,"25.447266,55.328114",5650,281,35
1596198495,2020-07-31T12:28:15Z,AFL521,"25.460489,55.338188",6075,284,34
1596198507,2020-07-31T12:28:27Z,AFL521,"25.473038,55.347698",6475,286,34
1596198519,2020-07-31T12:28:39Z,AFL521,"25.486542,55.358021",6900,288,35
1596198534,2020-07-31T12:28:54Z,AFL521,"25.503021,55.370892",7425,291,35
1596198545,2020-07-31T12:29:05Z,AFL521,"25.514584,55.380009",7800,292,35
1596198560,2020-07-31T12:29:20Z,AFL521,"25.532547,55.393932",8400,294,34
1596198573,2020-07-31T12:29:33Z,AFL521,"25.546938,55.404675",8875,295,34
1596198585,2020-07-31T12:29:45Z,AFL521,"25.560484,55.414726",9375,295,33
1596198598,2020-07-31T12:29:58Z,AFL521,"25.575008,55.425507",9875,295,33
1596198610,2020-07-31T12:30:10Z,AFL521,"25.588648,55.435665",10275,298,34
1596198621,2020-07-31T12:30:21Z,AFL521,"25.601961,55.445614",10700,300,34
1596198634,2020-07-31T12:30:34Z,AFL521,"25.616579,55.4566",11000,307,34
1596198648,2020-07-31T12:30:48Z,AFL521,"25.633026,55.468952",11175,322,34
1596198660,2020-07-31T12:31:00Z,AFL521,"25.649632,55.481525",11350,335,34
1596198673,2020-07-31T12:31:13Z,AFL521,"25.665646,55.493652",11500,348,34
1596198683,2020-07-31T12:31:23Z,AFL521,"25.67894,55.503693",11625,356,34
1596198696,2020-07-31T12:31:36Z,AFL521,"25.698624,55.518597",11800,367,34
1596198708,2020-07-31T12:31:48Z,AFL521,"25.714462,55.530598",12100,373,34
1596198739,2020-07-31T12:32:19Z,AFL521,"25.759914,55.564911",13125,380,34
