Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1596130513,2020-07-30T17:35:13Z,SVR093,"55.413712,37.903332",0,0,31
1596130562,2020-07-30T17:36:02Z,SVR093,"55.413586,37.903061",0,9,50
1596130583,2020-07-30T17:36:23Z,SVR093,"55.413185,37.902409",0,10,39
1596130658,2020-07-30T17:37:38Z,SVR093,"55.412292,37.902649",0,11,323
1596130933,2020-07-30T17:42:13Z,SVR093,"55.410679,37.903843",0,28,210
1596131007,2020-07-30T17:43:27Z,SVR093,"55.408253,37.896652",0,15,236
1596131014,2020-07-30T17:43:34Z,SVR093,"55.407978,37.896149",0,28,222
1596131053,2020-07-30T17:44:13Z,SVR093,"55.406525,37.893604",0,27,202
1596131059,2020-07-30T17:44:19Z,SVR093,"55.406216,37.893684",0,28,165
1596131065,2020-07-30T17:44:25Z,SVR093,"55.405903,37.894051",0,33,146
1596131071,2020-07-30T17:44:31Z,SVR093,"55.405586,37.894451",0,15,146
1596131077,2020-07-30T17:44:37Z,SVR093,"55.405174,37.894936",0,18,146
1596131086,2020-07-30T17:44:46Z,SVR093,"55.40451,37.895744",0,21,146
1596131093,2020-07-30T17:44:53Z,SVR093,"55.403961,37.896408",0,21,146
1596131099,2020-07-30T17:44:59Z,SVR093,"55.403496,37.896942",0,21,146
1596131145,2020-07-30T17:45:45Z,SVR093,"55.399281,37.902004",0,23,146
1596131153,2020-07-30T17:45:53Z,SVR093,"55.398617,37.902813",0,20,146
1596131161,2020-07-30T17:46:01Z,SVR093,"55.397907,37.903664",0,21,146
1596131167,2020-07-30T17:46:07Z,SVR093,"55.397472,37.904186",0,20,146
1596131173,2020-07-30T17:46:13Z,SVR093,"55.39706,37.904671",0,16,146
1596131180,2020-07-30T17:46:20Z,SVR093,"55.396744,37.90506",0,30,143
1596131189,2020-07-30T17:46:29Z,SVR093,"55.396358,37.905453",0,22,157
1596131195,2020-07-30T17:46:35Z,SVR093,"55.396122,37.905418",0,19,185
1596131201,2020-07-30T17:46:41Z,SVR093,"55.396397,37.905437",0,13,202
1596131402,2020-07-30T17:50:02Z,SVR093,"55.395447,37.903114",0,19,278
1596131438,2020-07-30T17:50:38Z,SVR093,"55.395767,37.902603",0,2,323
1596131451,2020-07-30T17:50:51Z,SVR093,"55.396809,37.901337",0,45,326
1596131473,2020-07-30T17:51:13Z,SVR093,"55.405449,37.891014",625,45,326
1596131480,2020-07-30T17:51:20Z,SVR093,"55.409637,37.885868",625,160,325
1596131486,2020-07-30T17:51:26Z,SVR093,"55.413208,37.881588",850,165,325
1596131493,2020-07-30T17:51:33Z,SVR093,"55.417599,37.87645",1200,160,326
1596131499,2020-07-30T17:51:39Z,SVR093,"55.421219,37.872215",1525,157,326
1596131505,2020-07-30T17:51:45Z,SVR093,"55.424881,37.867935",1875,152,326
1596131513,2020-07-30T17:51:53Z,SVR093,"55.42989,37.862133",2325,146,326
1596131520,2020-07-30T17:52:00Z,SVR093,"55.433441,37.857998",2600,144,326
1596131526,2020-07-30T17:52:06Z,SVR093,"55.436554,37.854362",2850,143,326
1596131532,2020-07-30T17:52:12Z,SVR093,"55.439896,37.850487",3100,143,326
1596131543,2020-07-30T17:52:23Z,SVR093,"55.446507,37.842751",3575,142,326
1596131550,2020-07-30T17:52:30Z,SVR093,"55.44986,37.838802",3800,145,326
1596131556,2020-07-30T17:52:36Z,SVR093,"55.453724,37.834251",3950,154,326
1596131563,2020-07-30T17:52:43Z,SVR093,"55.457428,37.829922",4075,161,326
1596131569,2020-07-30T17:52:49Z,SVR093,"55.46159,37.825069",4225,169,326
1596131575,2020-07-30T17:52:55Z,SVR093,"55.465687,37.821205",4350,178,333
1596131581,2020-07-30T17:53:01Z,SVR093,"55.470703,37.818604",4475,192,348
1596131608,2020-07-30T17:53:28Z,SVR093,"55.492905,37.838745",5425,225,60
1596131614,2020-07-30T17:53:34Z,SVR093,"55.49511,37.849358",5650,226,73
1596131620,2020-07-30T17:53:40Z,SVR093,"55.496414,37.859745",5925,226,78
1596131626,2020-07-30T17:53:46Z,SVR093,"55.498322,37.870644",6175,227,70
1596131634,2020-07-30T17:53:54Z,SVR093,"55.502518,37.884769",6375,236,58
1596131640,2020-07-30T17:54:00Z,SVR093,"55.506134,37.894344",6500,241,55
1596131647,2020-07-30T17:54:07Z,SVR093,"55.510612,37.905319",6650,248,54
1596131654,2020-07-30T17:54:14Z,SVR093,"55.515499,37.91708",6825,258,53
1596131666,2020-07-30T17:54:26Z,SVR093,"55.52449,37.936954",7125,269,49
1596131679,2020-07-30T17:54:39Z,SVR093,"55.536263,37.958534",7475,284,44
1596131690,2020-07-30T17:54:50Z,SVR093,"55.547108,37.97699",7750,298,43
1596131703,2020-07-30T17:55:03Z,SVR093,"55.560886,38.000595",8250,306,44
1596131715,2020-07-30T17:55:15Z,SVR093,"55.573132,38.021706",8825,310,44
1596131727,2020-07-30T17:55:27Z,SVR093,"55.58519,38.042992",9375,313,45
1596131740,2020-07-30T17:55:40Z,SVR093,"55.597641,38.065048",9950,318,45
1596131752,2020-07-30T17:55:52Z,SVR093,"55.610458,38.087852",10475,325,45
1596131763,2020-07-30T17:56:03Z,SVR093,"55.623222,38.110458",10700,341,45
1596131776,2020-07-30T17:56:16Z,SVR093,"55.636955,38.134491",11000,350,44
1596131787,2020-07-30T17:56:27Z,SVR093,"55.651012,38.158779",11775,346,44
1596131800,2020-07-30T17:56:40Z,SVR093,"55.664703,38.183067",12600,339,46
1596131808,2020-07-30T17:56:48Z,SVR093,"55.672611,38.20092",13125,338,55
1596131815,2020-07-30T17:56:55Z,SVR093,"55.67775,38.21769",13400,343,63
1596131822,2020-07-30T17:57:02Z,SVR093,"55.681179,38.235428",13675,345,75
1596131828,2020-07-30T17:57:08Z,SVR093,"55.682693,38.252148",13950,348,83
1596131834,2020-07-30T17:57:14Z,SVR093,"55.683334,38.268295",14200,348,86
1596131840,2020-07-30T17:57:20Z,SVR093,"55.683926,38.287868",14525,349,87
1596131876,2020-07-30T17:57:56Z,SVR093,"55.687408,38.390392",15825,364,86
1596131908,2020-07-30T17:58:28Z,SVR093,"55.691483,38.491268",16725,388,85
1596131938,2020-07-30T17:58:58Z,SVR093,"55.695564,38.590591",17500,408,85
1596131970,2020-07-30T17:59:30Z,SVR093,"55.699814,38.696346",18275,426,85
1596132031,2020-07-30T18:00:31Z,SVR093,"55.709015,38.917984",19925,450,84
1596132093,2020-07-30T18:01:33Z,SVR093,"55.726894,39.14489",21700,464,82
1596132154,2020-07-30T18:02:34Z,SVR093,"55.743885,39.381695",23125,484,82
1596132218,2020-07-30T18:03:38Z,SVR093,"55.761429,39.636757",24850,493,83
