Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1595867883,2020-07-27T16:38:03Z,UTA505,"61.672955,50.846958",0,2,13
1595867908,2020-07-27T16:38:28Z,UTA505,"61.673126,50.847301",0,2,25
1595867936,2020-07-27T16:38:56Z,UTA505,"61.673302,50.846966",0,11,319
1595868234,2020-07-27T16:43:54Z,UTA505,"61.675529,50.84816",0,13,17
1595868263,2020-07-27T16:44:23Z,UTA505,"61.675014,50.847816",0,13,194
1595868276,2020-07-27T16:44:36Z,UTA505,"61.674671,50.847988",0,16,157
1595868285,2020-07-27T16:44:45Z,UTA505,"61.6745,50.848339",0,17,154
1595868297,2020-07-27T16:44:57Z,UTA505,"61.674164,50.848667",0,19,154
1595868305,2020-07-27T16:45:05Z,UTA505,"61.673985,50.849018",0,20,89
1595868316,2020-07-27T16:45:16Z,UTA505,"61.673637,50.849354",0,17,157
1595868358,2020-07-27T16:45:58Z,UTA505,"61.670731,50.848515",0,65,202
1595868364,2020-07-27T16:46:04Z,UTA505,"61.668835,50.846958",0,92,202
1595868371,2020-07-27T16:46:11Z,UTA505,"61.665058,50.843697",0,130,202
1595868378,2020-07-27T16:46:18Z,UTA505,"61.66111,50.840263",0,155,202
1595868390,2020-07-27T16:46:30Z,UTA505,"61.652527,50.83374",525,168,198
1595868396,2020-07-27T16:46:36Z,UTA505,"61.647545,50.830486",725,177,197
1595868406,2020-07-27T16:46:46Z,UTA505,"61.640488,50.8256",1125,182,198
1595868412,2020-07-27T16:46:52Z,UTA505,"61.635536,50.821838",1425,182,202
1595868418,2020-07-27T16:46:58Z,UTA505,"61.630875,50.817066",1725,184,207
1595868424,2020-07-27T16:47:04Z,UTA505,"61.626083,50.811359",2075,184,209
1595868434,2020-07-27T16:47:14Z,UTA505,"61.619057,50.80302",2425,196,209
1595868440,2020-07-27T16:47:20Z,UTA505,"61.613888,50.797119",2575,208,208
1595868446,2020-07-27T16:47:26Z,UTA505,"61.608719,50.791168",2725,220,207
1595868452,2020-07-27T16:47:32Z,UTA505,"61.603088,50.78532",2950,226,205
1595868458,2020-07-27T16:47:38Z,UTA505,"61.597084,50.779316",3300,229,204
1595868464,2020-07-27T16:47:44Z,UTA505,"61.590866,50.773415",3600,237,204
1595868470,2020-07-27T16:47:50Z,UTA505,"61.584885,50.76762",3825,245,205
1595868477,2020-07-27T16:47:57Z,UTA505,"61.57869,50.761642",4050,254,205
1595868489,2020-07-27T16:48:09Z,UTA505,"61.56496,50.747681",4500,272,205
1595868501,2020-07-27T16:48:21Z,UTA505,"61.55072,50.733097",5000,288,206
1595868514,2020-07-27T16:48:34Z,UTA505,"61.535797,50.717697",5550,300,206
1595868526,2020-07-27T16:48:46Z,UTA505,"61.520004,50.701317",6125,312,206
